username,address,publicKey,balance
dedege,17961762415724624502X,454242302def756774f8508600754e936fc7fa9c545e79f91495d2f9f3ef8420,31704
,14277873658231733609X,44af7e7672acc81f4cd044c88325e076647c35d528e23ff64b1e01b552a8ac46,52000000
mengnan,10419467402631331929X,17edee39862c8e110650d8459bc47f85ca05ec8449a0e25ea1b7a3f7d42273b3,126452229
june,9031076323494348986X,c3310bc99513fcdd0ed2a2239551d564ddae1c9a6116992be684611862b9548e,147438646
,10585939646863206972X,336ec6daee2a37376aa3e93df8e8dfa51ce2c494d8eb75a23eefa2c6d5532072,152000000
lg15x,9887981385674895755X,8506e756ab809b652ef346e4bd58b83b6cd985746ec1bf948bbec85edcbc2f36,283084571
dm69,10774008706608891066X,b57c5900ca4fb2cb6035816188d16c80a37119d17fcfeff7ffa2dc8c1be74547,300000000
nova,13810487822529147028X,985d37a22dfd5bc90b97bdbfaf2aef1937770c374ecced316991b898f1ee975e,1293297925
bears,7467862953070374987X,018ca32a66dbb1b1861a037e5adccfe18cfa00389ec1178059765fc83fc70c94,65097804758
oxydelegate,16401147436297420165X,84bb60bba87bb2e5118ecd08a8c15e4e8bdc7b8bf5346afd00a118a95cf55f39,67297125656
nvx,18070774055253425223X,da3b2ca1906a61056603f69205d8fd45621b4a5f75636c9c0e5d7927943d57b8,86051254160
cosmo,5464401120617264840X,46ea850de1776c75c35f888789cfa3e24b59bad64174be27958d9a78368f582a,94632039692
ilie_156,12946269926685228026X,6e5a319d356f48e9f1146b734966c5f85d8ff3a6672f0719b663d3903f5d66f8,108239255656
shifter,8604330884896028147X,fd8a6e7ef91932200a17d2bd16f8fcc31c16651b8ce4c53be48b9676156f95a6,111846020327
erred,11311540105206779175X,df196951eb8dcf830b64800d4ce56eb25a2f051c8ca250ec39468bee19e0d6a8,116379303320
woods,8471727945112648381X,1915c5b9b1d5a00b14870b3128f0dfac36492ba8fd8ba6888db6991e465d9ccd,133989104603
greenbans,14288781492819231577X,1949aac03b471f3d71b361a81b52f0f7bebdf9b6e8a9adb6f1f27be401833cbd,142410995041
bigtom,14741424173455117460X,8492c2db943b61e68a78fa8e4f97708fd4e1ba119103f3dabb6fc6851743f3c1,146348700594
efebmx,13679962489037466617X,4238dc45b65a74fa28e87c57a2c0f86f087979d1547c67bea25dd90db21cb7d7,174147522258
cindy,5108332288405898050X,920577606e28cef8877715b77ec00b861f8f334c113b03891e21c876c6bea492,188862238802
drken,674982354966958221X,8fa96337ad7d43d41e361a2e8b7419814636c817d03cf579c70aa38517a5c229,197489265565
carbonara,15017762935433856684X,3d3c9651c602b5fd165b13c3216839af1f86377cd5031a2f3cc722e7cb2f8dd3,223448955039
torland,8001697465307647198X,90d3e2fe78320ee9971978df46fcf86da98a04502459a7e6761e3b3ad8ea0064,230459661530
weioxy1111,1245929567833705564X,f9052733765d40a1fd3474a59080946f6e00f8f0410fd0888b48e2caf5e5a2cb,234664388005
africanus,6870175542189726136X,66864c41fa83860ad9cac20aa1abcb95ed588bed880352f3564f20ab568a7e3f,239200258448
antares,18021931681899329277X,82d1bd724514d778e821517c8f0a5eff60658098d0ee893fd5d5f710b37581fe,241117274183
risaia,5963021715586172790X,dc67f090444fb080fa04a2d19f4086cb07e6f20b044abfba9070671a0b584d79,254881999725
maverick,7076079438700731558X,09de3a3da2e63c1c18b02313b0e01ff0a558f599d8c81aa0f5e4c6a80e329c2d,280169363226
alldruide,4553956530720118643X,90a7260e1a9fea503b55dfe05903d3f9407e24a26ee37910f95741ad513df159,329539658124
broydog,5047005333132762281X,b724646f1339faf042a2e403d2349fcff50ef94c524c142dc1c6a19c597b034d,335175908797
adrianhunter,12476852290805955837X,0d6ab15088bb531de20d81d29c7d3f433dbb776d7234d48ac62d8dadd1e1d51f,360925472678
long,254680041428870548X,c2a3044f79e7b3b5df359842f1c685bf31b7689391275c2398db6fe070ee8196,534411680338
oxyelite.io_pay,6269663449577615995X,d4f731c8c717f1979d231be170566682780060ac3a5278f34f7fa0d0d0daf2fe,571890000000
alina_sny,18125169895906929460X,0a396ac0de0e772b75fd88fe6a127042de1c58bfc5b10e1d3bc77f86d93b1a2d,618373034885
,5034814636981773999X,3dc42d44a771f689b2f872f1f4af5aaf95547c170d5b0b4414109b23934ec9f9,714462000000
guinew,1034943371851640328X,c253541286da5a3ff8e7d6ec934620bdf2e45d364ae8ed8dcf00577a6ae58e25,769037473745
joseph,15355192301185049362X,f840edcec2cc4e7455b6ed065504e27b301ea206be7225ed03e195234a476a87,950791819320
,17443586934485813951X,310c3ee8718098a50d1f5505cab03a583aa053c27eb6e073f44b9858f220da50,1131382548574
cc,1138086290316257562X,14fac961e7a61694674aad043ebeb94c1db97c9be12898b6fde72bd262cc73b9,1813557575402
bartholo,10172281671535788028X,48cba8bd69270f453bd1dc06b61344334a3a1792a119798dd2ca6d585b9b925a,2368988119325
milhan,14291103702741419093X,8d0ee6389af988b58bdb03eeffa7313285c97ec1e41694191c4e8733eae0eaef,2411606785426
,12422289117518811326X,618c7cb28783297272472d0c3f2ed91c98c3763924e079e246329755f6f6795d,3397762000000
asat0r,5180536345932693822X,5b8f8c57321b70890d3aa3525443628c73d7bb5f1a9fb1572db60ee4c5a746ac,3605936225026
tavernes_vote,18109909511263380160X,e30cf12a86bb27293d9a700b849a2bfd9f547af95507c884ec25323c7760f4d9,3820870624839
,17260617997709905039X,a932bb7deaa6de604bbd8d2ec3248623c92dfb1aacdbe1a5889951e6ae6f410c,4532611000000
jixie.vote2,16752030511996596986X,7f8bc26150949b4eb1909682abfb1dcb27affae3a0a57c3fde2b643baa8cbd88,4550742000000
kindle.b,7847838611478854450X,ac050e9b15bae043858bfa226db44a9a131ab3524046171911771ac47f08f127,4672956373663
willdown_vote_b,14272655632286621577X,5b413e82494e5299b61c1a705d34c115033954fe3edd362ee3e39f1c22aeffce,4775352000000
saihong.vote2,8058951710441411315X,c56deb9f02687ad886c70f170ef2125c93a4936160652430152bb83ea3820755,4992862000000
flyer.vote2,14209697437672432461X,c2b8aaa2066ddea5bb17728280fbd7c4f784cf2b14fee6055de7716e6c097b99,4998862000000
bigfisher_vote_b,16175172825468356914X,a749008bbc37d85e0b97e047a4429a9351149153899f1ae7cefbd35ca44c9912,4999862000000
acheng_vote2,13365605075585683532X,d5f18c14ebc89e94a6c5db783bc642506364644eaf556eb4ba54748bafc0a760,5006442000000
